id,Questions,A,B,C ,D
1,CNN là kênh truyền hình của quốc gia nào?,Hoa Kỳ,Việt Nam,Thái Lan,Ý
2,BBC là kênh thông tấn xã của...?,Anh và Bắc Ireland,Hoa Kỳ,Úc,Áo
3,Cartoon Network là kênh truyền hình chuyên về chủ đề nào?,Hoạt hình,Phim ảnh,Tin tức,Khoa học
4,Disney Channel có logo là hình của?,Chuột Mickey,Doremon,Chú chó Scooby-Doo,Mr.Bean
5,Đâu là phim hoạt hình nổi bật trên Disney Channel?,Phineas và Ferb,Bảy viên ngọc rồng,Teen Titan,Doremon
6,MTV là kênh truyền hình thuộc sở hữu của quốc gia nào?,Hoa Kỳ,Anh,Bỉ,Hà Lan
7,Broadcast là những kênh truyền hình như thế nào?,Hướng tới mọi người,Hướng tới đối tượng là trẻ em,Hướng tới những người yêu âm nhạc,Dành cho người trưởng thành
8,Đâu là một series nổi tiếng chiếu trên HBO?,Game of Thrones,The Walking Dead,Breaking Bad,The Simpsons
9,Cha đẻ của series truyền hình Glee là?,FOX,Disney Channel,CBS,AMC
10,Master Chef là chương trình truyền hình thực tế về...?,Ẩm thực,Âm nhạc,Thời trang,Công nghệ
11,American Idol là chương trình về...?,Âm nhạc,Thời trang,Công nghệ,Phiêu lưu khám phá
12,Discovery Channel là kênh truyền hình về...?,Khoa học,Thời trang,Hoạt hình,Âm nhạc
13,Animal Planet là kênh truyền hình chuyên về...?,Động vật,Hoạt hình,Hài kịch,Phim ảnh
14,DW là kênh truyền hình của quốc gia nào?,Đức,Pháp,Hoa Kỳ,Hà Lan
15,So You Think You Can Dance là chương trình thực tế về...?,Khiêu vũ,Điện ảnh,Thời trang,Động vật
16,Suicide Squad là bộ phim được công chiếu vào năm?,2016,2015,2014,2013
17,Đâu là bộ phim có tổng doanh thu toàn cầu cao nhất mọi thời đại?,Avatar,Titanic,Iron Man 3,Jurassic World
18,The Apprentice là chương trình truyền hình do ai sáng lập?,Mark Burnett,Donald Trump,Arnold Schwarzenegger,Bill Gates
19,Đâu là tiểu bang duy nhất của Hoa Kỳ có nước xung quanh?,Hawaii,Alaska,California,New Jersey
20,Đâu là tiểu bang duy nhất không thuộc châu lục nào của Hoa Kỳ?,Hawaii,Alaska,Ohio,Maine
21,"""Tiểu bang Aloha"" là biệt danh của tiểu bang nào của Hoa Kỳ?",Hawaii,Tây Virginia,Utah,Idaho
22,Diễn viên thủ vai nhân vật Iron Man?,Robert Downey Jr,Chris Evans,Sebastian Stan,Hugh Jackman
23,Bộ phim Warcraft được công chiếu vào năm nào?,2016,2015,2014,2013
24,Bộ phim Avengers: Age of Ultron được công chiếu vào năm nào?,2015,2013,2011,2009
25,Khẩu hiệu của Nike là?,Just Do It!,Do It Later!,Don't Do It!,Do Anything!
26,"Trong phim Big Hero 6, nhân vật Baymax là?",Một người máy,Một cậu bé,Một chú mèo,Một chú chó
27,Bộ phận nào là quan trọng nhất để xử lý đồ họa máy tính?,Card màn hình,RAM,Chuột,Bàn phím
28,Ferrari là thương hiệu nổi tiếng chuyên sản xuất...?,Xe hơi thể thao,Phần mềm,Điện thoại di động,Trò chơi điện tử
29,Gigabyte là đơn vị gì?,Lưu trữ thông tin,Độ dài,Cân nặng,Nhiệt độ
30,Bitcoin là gì?,Một loại tiền tệ kỹ thuật số,Trang web thương mại,Công cụ tìm kiếm,Mạng xã hội
31,Star Trek là dòng phim về thể loại?,Khoa học viễn tưởng,Tình cảm,Trinh thám,Hài kịch
32,Một tổng thống Mỹ được phục vụ tối đa bao nhiêu nhiệm kỳ?,2,3,4,5
33,Đâu là quốc gia đạt huy chương vàng Olympic 2016 môn bóng đá?,Brazil,Đức,Honduras,Nigeria
34,Ai là người đạt HCV Olympic 2016 tại nội dung chạy 200m nam?,Usain Bolt,Andre De Grasse,Christophe Lemaitre,Adam Gemili
35,Michael Phelps là VĐV có quốc tịch?,Hoa Kỳ,Trung Quốc,Anh,Pháp
36,VĐV nam đạt huy chương vàng Olympic 2016 môn cầu lông đơn?,Chen Long,Lee Chong Wei,Lâm Đan,Viktor Axelsen
37,NBA là hiệp hội của môn thể thao nào?,Bóng rổ,Bóng đá,Bóng chày,Bóng chuyền
38,Số người chơi mỗi đội của môn bóng chày?,9,10,11,12
39,Google Drive là gì?,Công cụ lưu trữ dữ liệu của Google,Công cụ tìm kiếm,Hệ điều hành của Google,Hệ thống bản đồ của Google
40,Đâu là một hãng không làm về game?,Toyota,Ubisoft,Activision,Valve
41,Nvidia là hãng chuyên sản xuất?,Công nghệ xử lý đồ họa,Đồ ăn nhanh,Quần áo thời trang,Xe hơi
42,Đâu là thành phố đông dân nhất nước Mỹ năm 2016?,New York,Texas,California,Washington
43,1 MB bằng bao nhiều KB?,1024,128,256,512
44,Nói đến Tesla là chúng ta nghĩ đến ngay công nghệ…?,Xe tự lái,Xe tải,Xe khách,Xe máy
45,Hội trợ trưng bày sản phẩm về công nghệ lớn nhất thế giới là?,CES,CEO,CEE,SEO
46,Microsoft mua lại thương hiệu Nokia vào năm nào?,2014,2000,2008,2009
47,Ai không phải là người sáng lập ra tập đoàn Apple?,Musk,Steve Job,Steve Wozniak,Mike Markkula
48,Trụ sở chính của tập đoàn Apple là ở nước nào?,Mỹ,Anh,Úc,Tây Ban Nha
49,Chữ Tech trong từ Hi-tech là viết tắt của từ…?,Technology,Technical,Tech,Technic
50,Trụ sở chính của tập đoàn ô tô Tesla ở đâu?,Mỹ,Anh,Canada,Pháp
51,Tập đoàn đa quốc gia Samsung là của nước nào?,Hàn Quốc ,Nhật Bản,Mỹ ,Thái Lan
52,Trụ sở chính của Samsung ở Hàn Quốc đặt tại thành phố….?,Seoul ,Sejong,Seosan,Suwon
53,Code là thuật ngữ được sử dụng trong lĩnh vực?,Công nghệ thông tin,Văn hóa,Thể thao,Kinh tế
54,Trí tuệ nhân tạo được viết tắt là gì?,AI,AK,AC,AG
55,Trụ sở chính của Facebook là ở nước nào?,Mỹ,Anh,Úc,Pháp
56,iPhone SE được Apple cho ra đời vào năm nào?,2016,2015,2014,2010
57,Lexus là dòng xe hạng sang của hãng nào?,Toyota,Ford,Mercedes,Honda
58,Công nghệ bảo mật bằng vân tay được tích hợp trong dòng iPhone nào?,iPhone 5s,iPhone 4,iPhone 3s,iPhone 5
59,Dòng iPhone nào không được hỗ trợ công nghệ bảo mật vân tay?,iPhone 4s,Iphone 5,iPhone 5s,Cả A và B
60,Dòng chip Core i do hãng nào sản xuất?,Intel,IBM,Microsoft,Nvidia
61,Hãng nào là hãng sản xuất phần mềm?,Microsoft,IBM,Intel,Nvidia
62,Loài hoa nào lần đầu tiên được trồng ngoài vũ trụ?,Hoa cúc,Hoa hồng,Hoa lan,Hoa hướng dương
63,Màn hình 4K có độ phân giải là bao nhiêu?,4096x2190,3840x2160,1280x720,2048x1920
64,Đâu là một loại bàn phím?,QWERTY,QEWRTY,QTRYEW,WQTRY
65,Đâu là tên một loại ổ cứng?,HDD,HHD,DDH,HHH
66,Sợi cáp quang có cấu trúc hình gì?,Hình trụ,Hình tam giác,Hình vuông,Hình chữ nhật
67,Tàu vũ trụ có tốc độ lên tới…?,Nghìn km/h,Trăm km/h,Chục km/h,Triệu km/h
68,AND có dạng hình gì?,Xoắn ốc,Hình vuông,Tam giác,Tròn
69,Galaxy Note 7 ra được samsung cho ra đời vào năm nào?,2016,2013,2014,2015
70,"Tính đến năm 2016, OLED là công nghệ màn hỉnh hiển thị….?",Cao cấp,Bình thường,Kém,Cực kém
71,Smart Watch là loại đồng hồ gì?,Đồng hồ thông minh,Đồng hồ cơ,Đồng hồ giây cót,Đồng hồ quả lắc
72,Uber là tên của một hãng….?,Taxi,Điện thoại,Đồng hồ,Ô tô
73,Hệ thống định vị toàn cầu viết tắt là gì?,GPS,GPA,GPP,GSS
74,Thời gian phân hủy của túi Nilon mất khoảng bao lâu?,Vài năm,Vài nghìn năm,Vài trăm năm,Vài nghìn năm
